1	synpic54082	cta - ct angiography
2	synpic48556	no
3	synpic50696	iv
4	synpic37194	us-d - doppler ultrasound
5	synpic31308	an - angiogram
6	synpic24739	t2
7	synpic32365	yes
8	synpic47936	gi and iv
9	synpic29792	yes
10	synpic43561	yes
11	synpic40732	mr - flair
12	synpic33904	no
13	synpic39583	yes
14	synpic39568	xr - plain film
15	synpic27024	yes
16	synpic25155	flair
17	synpic52493	xr - plain film
18	synpic53941	ct with iv contrast
19	synpic58343	mr - t1w w/gadolinium
20	synpic48150	yes
21	synpic26892	no
22	synpic48805	yes
23	synpic41996	yes
24	synpic52901	t2
25	synpic26702	no
26	synpic36075	no
27	synpic15874	no
28	synpic28538	xr - plain film
29	synpic45924	mr - flair
30	synpic24458	ct with gi and iv contrast
31	synpic34139	xr - plain film
32	synpic58746	contrast
33	synpic36276	yes
34	synpic46949	us - ultrasound
35	synpic60018	t2
36	synpic14955	ct w/contrast (iv)
37	synpic38267	no
38	synpic18809	ct w/contrast (iv)
39	synpic55706	no
40	synpic51206	no
41	synpic46829	yes
42	synpic24706	no
43	synpic22377	an - angiogram
44	synpic43979	us - ultrasound
45	synpic32831	no
46	synpic33285	no
47	synpic55100	no
48	synpic48384	cta - ct angiography
49	synpic59289	iv
50	synpic54975	yes
51	synpic51170	yes
52	synpic40069	noncontrast
53	synpic51160	mr - flair
54	synpic18560	contrast
55	synpic51606	an - angiogram
56	synpic19859	xr - plain film
57	synpic27747	yes
58	synpic13384	mammograph
59	synpic59702	no
60	synpic60197	yes
61	synpic56425	an - angiogram
62	synpic33295	ugi - upper gi
63	synpic43772	yes
64	synpic56394	mr - t2 weighted
65	synpic33518	noncontrast (mri)
66	synpic28138	yes
67	synpic31469	contrast
68	synpic35155	ct with gi and iv contrast
69	synpic40333	us - ultrasound
70	synpic41011	no
71	synpic51202	ct noncontrast
72	synpic44800	contrast
73	synpic59851	xr - plain film
74	synpic35747	mr - t2 weighted
75	synpic54150	mr - t1w w/gadolinium
76	synpic25024	yes
77	synpic34128	sbft - small bowel
78	synpic45935	contrast
79	synpic19086	ct noncontrast
80	synpic35578	yes
81	synpic51767	ct with gi and iv contrast
82	synpic27197	no
83	synpic44430	contrast
84	synpic46964	xr - plain film
85	synpic41979	ugi - upper gi
86	synpic32773	us - ultrasound
87	synpic31285	no
88	synpic40440	no
89	synpic22366	us - ultrasound
90	synpic100408	xr - plain film
91	synpic50733	no
92	synpic49262	no
93	synpic27752	xr - plain film
94	synpic53951	yes
95	synpic24501	xr - plain film
96	synpic52497	no
97	synpic47924	ugi - upper gi
98	synpic22825	ct (with gi and iv contrast)
99	synpic18213	xr - plain film
100	synpic34909	yes
101	synpic56154	no
102	synpic39585	t2
103	synpic16994	flair
104	synpic51407	yes
105	synpic37609	mr - adc map (app diff coeff)
106	synpic27432	ct w/contrast (iv)
107	synpic28715	yes
108	synpic53600	no
109	synpic40697	no
110	synpic41589	ct with iv contrast
111	synpic24310	no
112	synpic51770	no
113	synpic47890	ct noncontrast
114	synpic40127	t1
115	synpic37634	no
116	synpic26922	us - ultrasound
117	synpic37740	t1
118	synpic28890	noncontrast
119	synpic49513	mr - t1w w/gadolinium
120	synpic52133	an - angiogram
121	synpic24258	yes
122	synpic21334	yes
123	synpic45842	yes
124	synpic37595	xr - plain film
125	synpic55335	yes
126	synpic56130	3d reconstruction
127	synpic21435	axial
128	synpic39252	axial
129	synpic23785	axial
130	synpic58323	axial
131	synpic51449	axial
132	synpic39087	axial
133	synpic16716	ap
134	synpic54525	axial
135	synpic38372	axial
136	synpic39865	axial
137	synpic58519	axial
138	synpic26986	pa
139	synpic58294	sagittal
140	synpic24161	longitudinal
141	synpic26010	lateral
142	synpic36217	axial
143	synpic56736	sagittal
144	synpic44454	axial
145	synpic54653	axial
146	synpic56044	sagittal
147	synpic21569	ap
148	synpic59376	axial
149	synpic55564	axial
150	synpic34367	oblique
151	synpic48079	axial
152	synpic35657	pa
153	synpic27290	sagittal
154	synpic29040	pa
155	synpic27737	lateral
156	synpic39290	axial
157	synpic27906	axial
158	synpic58863	coronal
159	synpic46888	axial
160	synpic20264	axial
161	synpic38359	coronal
162	synpic36374	axial
163	synpic41842	axial
164	synpic21783	3d reconstruction
165	synpic57403	axial
166	synpic17769	axial
167	synpic59360	axial
168	synpic15817	pa
169	synpic51932	axial
170	synpic32067	axial
171	synpic16112	transverse
172	synpic39867	axial
173	synpic35132	axial
174	synpic28605	axial
175	synpic56442	sagittal
176	synpic52142	axial
177	synpic51311	axial
178	synpic41102	axial
179	synpic37080	lateral
180	synpic54719	axial
181	synpic43507	oblique
182	synpic58325	axial
183	synpic55832	axial
184	synpic43936	axial
185	synpic61201	sagittal
186	synpic18885	coronal
187	synpic44136	transverse
188	synpic16894	sagittal
189	synpic51261	axial
190	synpic34406	sagittal
191	synpic41927	coronal
192	synpic50433	coronal
193	synpic26566	axial
194	synpic53852	axial
195	synpic41503	axial
196	synpic45003	sagittal
197	synpic25536	axial
198	synpic41932	axial
199	synpic20466	sagittal
200	synpic16881	ap
201	synpic52027	3d reconstruction
202	synpic32894	ap
203	synpic35645	frontal
204	synpic27282	ap
205	synpic37250	axial
206	synpic27725	axial
207	synpic17194	sagittal
208	synpic21397	coronal
209	synpic52423	lateral
210	synpic42156	axial
211	synpic51894	axial
212	synpic38836	axial
213	synpic54736	axial
214	synpic53065	sagittal
215	synpic43510	transverse
216	synpic53717	axial
217	synpic60336	axial
218	synpic8584	axial
219	synpic43048	axial
220	synpic27294	sagittal
221	synpic28170	lateral
222	synpic100253	ap
223	synpic37124	axial
224	synpic54130	axial
225	synpic27647	lateral
226	synpic41919	axial
227	synpic57835	axial
228	synpic23193	3d reconstruction
229	synpic27256	frontal
230	synpic32897	pa
231	synpic53299	lateral
232	synpic32698	oblique
233	synpic49799	axial
234	synpic60451	pa
235	synpic51667	sagittal
236	synpic53064	coronal
237	synpic59213	coronal
238	synpic53981	axial
239	synpic53995	axial
240	synpic59260	axial
241	synpic56806	coronal
242	synpic55670	axial
243	synpic23916	axial
244	synpic47328	transverse
245	synpic50132	axial
246	synpic28076	coronal
247	synpic44351	sagittal
248	synpic24314	lateral
249	synpic31739	mammo - cc
250	synpic25598	mammo - mlo
251	synpic16333	skull and contents
